RIPARTIAMO DA CAPO



dataroot: acds/benchmarks/raw/adiac, resultroot: resultGridSearch/, resultsuffix: trainmatrix, n_hid: 90, modelname: trainedpron, train_oscillators: True, train_recurrent: False, batch: 30, dt: 0.1, gamma: 1.0, epsilon: 0.5, gamma_range: 1.0, epsilon_range: 0.5, cpu: False, matrix_friction: False, input_fn: linear, diffusive_gamma: 0.1, inp_scaling: 1.0, use_test: False, trials: 1, epochs: 1000, lr: 0.02, topology: antisymmetric, train: ['0.83'] valid: ['0.61'] test: ['0.0']mean/std train: (np.float64(0.825925886631012), np.float64(0.0)) mean/std valid: (np.float64(0.6083333492279053), np.float64(0.0)) mean/std test: (np.float64(0.0), np.float64(0.0))


NON USARE DT = 1.

dataroot: acds/benchmarks/raw/adiac, resultroot: resultGridSearch/, resultsuffix: trainmatrix, n_hid: 90, modelname: trainedpron, train_oscillators: True, train_recurrent: False, batch: 30, dt: 0.1, gamma: 1.0, epsilon: 0.5, gamma_range: 1.0, epsilon_range: 0.5, cpu: False, matrix_friction: False, input_fn: linear, diffusive_gamma: 1.0, inp_scaling: 1.0, use_test: False, trials: 1, epochs: 1000, lr: 0.01, topology: antisymmetric, train: ['0.93'] valid: ['0.69'] test: ['0.0']mean/std train: (np.float64(0.9296296238899231), np.float64(0.0)) mean/std valid: (np.float64(0.6916667222976685), np.float64(0.0)) mean/std test: (np.float64(0.0), np.float64(0.0))

dataroot: acds/benchmarks/raw/adiac, resultroot: resultGridSearch/, resultsuffix: trainmatrix, n_hid: 90, modelname: trainedpron, train_oscillators: True, train_recurrent: False, batch: 30, dt: 0.1, gamma: 1.0, epsilon: 0.5, gamma_range: 1.0, epsilon_range: 0.5, cpu: False, matrix_friction: False, input_fn: linear, diffusive_gamma: 0.01, inp_scaling: 1.0, use_test: False, trials: 1, epochs: 1000, lr: 0.01, topology: antisymmetric, train: ['0.98'] valid: ['0.66'] test: ['0.0']mean/std train: (np.float64(0.9814814925193787), np.float64(0.0)) mean/std valid: (np.float64(0.6583333611488342), np.float64(0.0)) mean/std test: (np.float64(0.0), np.float64(0.0))

dataroot: acds/benchmarks/raw/adiac, resultroot: resultGridSearch/, resultsuffix: trainmatrix, n_hid: 90, modelname: trainedpron, train_oscillators: True, train_recurrent: False, batch: 30, dt: 0.01, gamma: 1.0, epsilon: 0.5, gamma_range: 1.0, epsilon_range: 0.5, cpu: False, matrix_friction: False, input_fn: linear, diffusive_gamma: 1.0, inp_scaling: 1.0, use_test: False, trials: 1, epochs: 1000, lr: 0.01, topology: antisymmetric, train: ['0.57'] valid: ['0.37'] test: ['0.0']mean/std train: (np.float64(0.5666666626930237), np.float64(0.0)) mean/std valid: (np.float64(0.36666667461395264), np.float64(0.0)) mean/std test: (np.float64(0.0), np.float64(0.0))

