PROVIAMO CON IL DIFFUSION_GAMMA



dataroot: ./acds/benchmarks, resultroot: resultGridSearch/, resultsuffix: trainmatrix, n_hid: 1000, batch: 1000, dt: 0.1, gamma: 0.27, epsilon: 5.1, gamma_range: 1.0, epsilon_range: 1.0, cpu: False, esn: False, ron: True, pron: False, mspron: False, diffusion_gamma: 1.0, inp_scaling: 1.0, rho: 9.0, leaky: 1.0, use_test: False, trials: 1, topology: antisymmetric, sparsity: 0.0, reservoir_scaler: 1.0, train: ['0.73'] valid: ['0.68'] test: ['0.0']mean/std train: (np.float64(0.7253148148148149), np.float64(0.0)) mean/std valid: (np.float64(0.675), np.float64(0.0)) mean/std test: (np.float64(0.0), np.float64(0.0))

dataroot: ./acds/benchmarks, resultroot: resultGridSearch/, resultsuffix: trainmatrix, n_hid: 1000, batch: 1000, dt: 0.1, gamma: 0.27, epsilon: 5.1, gamma_range: 1.0, epsilon_range: 1.0, cpu: False, esn: False, ron: True, pron: False, mspron: False, diffusion_gamma: 0.1, inp_scaling: 1.0, rho: 9.0, leaky: 1.0, use_test: False, trials: 1, topology: antisymmetric, sparsity: 0.0, reservoir_scaler: 1.0, train: ['0.73'] valid: ['0.67'] test: ['0.0']mean/std train: (np.float64(0.7282222222222222), np.float64(0.0)) mean/std valid: (np.float64(0.6718333333333333), np.float64(0.0)) mean/std test: (np.float64(0.0), np.float64(0.0))

dataroot: ./acds/benchmarks, resultroot: resultGridSearch/, resultsuffix: trainmatrix, n_hid: 1000, batch: 1000, dt: 0.1, gamma: 0.27, epsilon: 5.1, gamma_range: 1.0, epsilon_range: 1.0, cpu: False, esn: False, ron: True, pron: False, mspron: False, diffusion_gamma: 0.01, inp_scaling: 1.0, rho: 9.0, leaky: 1.0, use_test: False, trials: 1, topology: antisymmetric, sparsity: 0.0, reservoir_scaler: 1.0, train: ['0.69'] valid: ['0.64'] test: ['0.0']mean/std train: (np.float64(0.691962962962963), np.float64(0.0)) mean/std valid: (np.float64(0.6378333333333334), np.float64(0.0)) mean/std test: (np.float64(0.0), np.float64(0.0))

dataroot: ./acds/benchmarks, resultroot: resultGridSearch/, resultsuffix: trainmatrix, n_hid: 1000, batch: 1000, dt: 0.1, gamma: 0.27, epsilon: 5.1, gamma_range: 1.0, epsilon_range: 1.0, cpu: False, esn: False, ron: True, pron: False, mspron: False, diffusion_gamma: 0.001, inp_scaling: 1.0, rho: 9.0, leaky: 1.0, use_test: False, trials: 1, topology: antisymmetric, sparsity: 0.0, reservoir_scaler: 1.0, train: ['0.7'] valid: ['0.65'] test: ['0.0']mean/std train: (np.float64(0.6964259259259259), np.float64(0.0)) mean/std valid: (np.float64(0.645), np.float64(0.0)) mean/std test: (np.float64(0.0), np.float64(0.0))

dataroot: ./acds/benchmarks, resultroot: resultGridSearch/, resultsuffix: trainmatrix, n_hid: 1000, batch: 1000, dt: 0.01, gamma: 0.27, epsilon: 5.1, gamma_range: 1.0, epsilon_range: 1.0, cpu: False, esn: False, ron: True, pron: False, mspron: False, diffusion_gamma: 1.0, inp_scaling: 1.0, rho: 9.0, leaky: 1.0, use_test: False, trials: 1, topology: antisymmetric, sparsity: 0.0, reservoir_scaler: 1.0, train: ['0.97'] valid: ['0.95'] test: ['0.0']mean/std train: (np.float64(0.9689814814814814), np.float64(0.0)) mean/std valid: (np.float64(0.9543333333333334), np.float64(0.0)) mean/std test: (np.float64(0.0), np.float64(0.0))

dataroot: ./acds/benchmarks, resultroot: resultGridSearch/, resultsuffix: trainmatrix, n_hid: 1000, batch: 1000, dt: 0.01, gamma: 0.27, epsilon: 5.1, gamma_range: 1.0, epsilon_range: 1.0, cpu: False, esn: False, ron: True, pron: False, mspron: False, diffusion_gamma: 0.1, inp_scaling: 1.0, rho: 9.0, leaky: 1.0, use_test: False, trials: 1, topology: antisymmetric, sparsity: 0.0, reservoir_scaler: 1.0, train: ['0.97'] valid: ['0.96'] test: ['0.0']mean/std train: (np.float64(0.9676111111111111), np.float64(0.0)) mean/std valid: (np.float64(0.9581666666666667), np.float64(0.0)) mean/std test: (np.float64(0.0), np.float64(0.0))

dataroot: ./acds/benchmarks, resultroot: resultGridSearch/, resultsuffix: trainmatrix, n_hid: 1000, batch: 1000, dt: 0.01, gamma: 0.27, epsilon: 5.1, gamma_range: 1.0, epsilon_range: 1.0, cpu: False, esn: False, ron: True, pron: False, mspron: False, diffusion_gamma: 0.01, inp_scaling: 1.0, rho: 9.0, leaky: 1.0, use_test: False, trials: 1, topology: antisymmetric, sparsity: 0.0, reservoir_scaler: 1.0, train: ['0.97'] valid: ['0.95'] test: ['0.0']mean/std train: (np.float64(0.9686481481481481), np.float64(0.0)) mean/std valid: (np.float64(0.9541666666666667), np.float64(0.0)) mean/std test: (np.float64(0.0), np.float64(0.0))

dataroot: ./acds/benchmarks, resultroot: resultGridSearch/, resultsuffix: trainmatrix, n_hid: 1000, batch: 1000, dt: 0.01, gamma: 0.27, epsilon: 5.1, gamma_range: 1.0, epsilon_range: 1.0, cpu: False, esn: False, ron: True, pron: False, mspron: False, diffusion_gamma: 0.001, inp_scaling: 1.0, rho: 9.0, leaky: 1.0, use_test: False, trials: 1, topology: antisymmetric, sparsity: 0.0, reservoir_scaler: 1.0, train: ['0.97'] valid: ['0.96'] test: ['0.0']mean/std train: (np.float64(0.9695370370370371), np.float64(0.0)) mean/std valid: (np.float64(0.9558333333333333), np.float64(0.0)) mean/std test: (np.float64(0.0), np.float64(0.0))

