dataroot: acds/benchmarks/raw/adiac, resultroot: resultroot, resultsuffix: , n_hid: 100, batch: 30, dt: 0.01, gamma: 3.0, epsilon: 5.0, gamma_range: 1.0, epsilon_range: 0.5, cpu: False, esn: False, ron: True, pron: False, mspron: False, matrix_friction: False, input_fn: linear, inp_scaling: 10.0, rho: 9.0, leaky: 1.0, use_test: True, trials: 5, topology: antisymmetric, sparsity: 0.0, reservoir_scaler: 1.0, train: ['0.88', '0.88', '0.87', '0.86', '0.86'] valid: ['0.0', '0.0', '0.0', '0.0', '0.0'] test: ['0.73', '0.73', '0.72', '0.75', '0.73']mean/std train: (np.float64(0.8692307692307691), np.float64(0.00794458122298958)) mean/std valid: (np.float64(0.0), np.float64(0.0)) mean/std test: (np.float64(0.7309462915601023), np.float64(0.010778162407010485))


Test con diffusion gamma


dataroot: acds/benchmarks/raw/adiac, resultroot: resultroot, resultsuffix: , n_hid: 100, batch: 30, dt: 0.01, gamma: 3.0, epsilon: 5.0, gamma_range: 1.0, epsilon_range: 0.5, cpu: False, esn: False, ron: True, pron: False, mspron: False, matrix_friction: False, input_fn: linear, diffusion_gamma: 1.0, inp_scaling: 10.0, rho: 9.0, leaky: 1.0, use_test: True, trials: 5, topology: antisymmetric, sparsity: 0.0, reservoir_scaler: 1.0, train: ['0.87', '0.85', '0.85', '0.84', '0.85'] valid: ['0.0', '0.0', '0.0', '0.0', '0.0'] test: ['0.73', '0.73', '0.7', '0.73', '0.71']mean/std train: (np.float64(0.8523076923076923), np.float64(0.012092129356463173)) mean/std valid: (np.float64(0.0), np.float64(0.0)) mean/std test: (np.float64(0.719693094629156), np.float64(0.013494532949639832))

dataroot: acds/benchmarks/raw/adiac, resultroot: resultroot, resultsuffix: , n_hid: 100, batch: 30, dt: 0.01, gamma: 3.0, epsilon: 5.0, gamma_range: 1.0, epsilon_range: 0.5, cpu: False, esn: False, ron: True, pron: False, mspron: False, matrix_friction: False, input_fn: linear, diffusion_gamma: 0.01, inp_scaling: 10.0, rho: 9.0, leaky: 1.0, use_test: True, trials: 5, topology: antisymmetric, sparsity: 0.0, reservoir_scaler: 1.0, train: ['0.83', '0.87', '0.84', '0.86', '0.88'] valid: ['0.0', '0.0', '0.0', '0.0', '0.0'] test: ['0.72', '0.72', '0.73', '0.71', '0.74']mean/std train: (np.float64(0.855897435897436), np.float64(0.01955453945121805)) mean/std valid: (np.float64(0.0), np.float64(0.0)) mean/std test: (np.float64(0.7242966751918158), np.float64(0.009623983489630068))

dataroot: acds/benchmarks/raw/adiac, resultroot: resultroot, resultsuffix: , n_hid: 100, batch: 30, dt: 0.01, gamma: 3.0, epsilon: 5.0, gamma_range: 1.0, epsilon_range: 0.5, cpu: False, esn: False, ron: True, pron: False, mspron: False, matrix_friction: False, input_fn: linear, diffusion_gamma: 0.5, inp_scaling: 10.0, rho: 9.0, leaky: 1.0, use_test: True, trials: 5, topology: antisymmetric, sparsity: 0.0, reservoir_scaler: 1.0, train: ['0.87', '0.87', '0.85', '0.85', '0.86'] valid: ['0.0', '0.0', '0.0', '0.0', '0.0'] test: ['0.71', '0.74', '0.73', '0.75', '0.71']mean/std train: (np.float64(0.8584615384615386), np.float64(0.009372136862819026)) mean/std valid: (np.float64(0.0), np.float64(0.0)) mean/std test: (np.float64(0.7299232736572889), np.float64(0.01630422245576394))



dataroot: acds/benchmarks/raw/adiac, resultroot: resultroot, resultsuffix: , n_hid: 100, batch: 30, dt: 0.01, gamma: 3.0, epsilon: 5.0, gamma_range: 1.0, epsilon_range: 0.5, cpu: False, esn: False, ron: True, pron: False, mspron: False, matrix_friction: False, input_fn: linear, diffusion_gamma: 0.01, inp_scaling: 10.0, rho: 9.0, leaky: 1.0, use_test: True, trials: 5, topology: antisymmetric, sparsity: 0.0, reservoir_scaler: 1.0, train: ['0.87', '0.86', '0.86', '0.85', '0.86'] valid: ['0.0', '0.0', '0.0', '0.0', '0.0'] test: ['0.73', '0.74', '0.71', '0.72', '0.72']mean/std train: (np.float64(0.8610256410256409), np.float64(0.006764567158088698)) mean/std valid: (np.float64(0.0), np.float64(0.0)) mean/std test: (np.float64(0.7237851662404091), np.float64(0.00808766665004702))


